site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Agroseris glauca,Androsace chamaejasme,Antennaria lanata,Arenaria rossii,Astragalus alpinum,Carex geyeri,Cerastium arvense,Claytonia megarhriza,Erigeron canus,Erigeron compositus,Festuca idahoensis,Geum rossii,Hulsia algida,Oxytropis campestris,Phacelia sericea,Polemonium viscosum,Potentilla nivea,Saxifraga bronchialis,Saxifraga oppositifolia,Sedum lanceolatum,Sedum rosea,Smelowskia calycia,Solidago multiradiata,Stellaria americana,UNKNOWN,dataset code
"Swiftcurrent High","Silene_acaulis",1,"cushion",38,40,,,,,"",,"",,"",2,,3,"",,"",,,"",,"","",6,"",,"",87
"Swiftcurrent High","Silene_acaulis",1,"open",38,40,,,,,"",,"",,"",4,,,"",,"",,,"",,"","",,"",,"",87
"Swiftcurrent High","Silene_acaulis",2,"cushion",50,41,,,3,,"",3,"",,"",4,,,"",,"",,1,"",,"","",6,"",1,"",87
"Swiftcurrent High","Silene_acaulis",9,"cushion",40,43,,,,,"",3,"",,"",10,3,,"",,"",,3,"",,"","",10,"",,"",87
"Swiftcurrent High","Silene_acaulis",9,"open",40,43,,,1,,"",,"",,"",4,,1,"",,"",1,,"",,"","",1,"",,"",87
"Swiftcurrent High","Silene_acaulis",10,"cushion",35,26,,,1,,"",,"",,"",1,2,,"",,"",,1,"",1,"","",2,"",,"",87
"Swiftcurrent High","Silene_acaulis",17,"cushion",30,25,,,1,,"",1,"",,"",1,,,"",,"",2,,"",,"","",,"",,"",87
"Swiftcurrent High","Silene_acaulis",17,"open",30,25,,,,,"",,"",,"",,,,"",,"",,,"",,"","",,"",,"",87
"Swiftcurrent High","Silene_acaulis",18,"cushion",27,24,,,2,,"",,"",,"",1,,,"",,"",,,"",,"","",2,"",,"",87
"Swiftcurrent High","Silene_acaulis",25,"cushion",36,23,,,,1,"",2,"",,"",2,,,"",,"",,,"",,"","",6,"",2,"",87
"Swiftcurrent High","Silene_acaulis",25,"open",36,23,,,,2,"",,"",,"",,,,"",,"",,1,"",,"","",2,"",,"",87
"Swiftcurrent High","Silene_acaulis",26,"cushion",26,18,,,1,,"",1,"",,"",1,,,"",,"",1,,"",,"","",2,"",1,"",87
"Swiftcurrent High","Silene_acaulis",33,"cushion",28,20,,,,,"",,"",,"",,,,"",,"",,,"",,"","",3,"",,"",87
"Swiftcurrent High","Silene_acaulis",33,"open",28,20,,,,,"",,"",,"",,,,"",,"",,,"",,"","",,"",1,"",87
"Swiftcurrent High","Silene_acaulis",34,"cushion",86,74,,,2,,"",3,"",,"",2,7,2,"",,"",,,"",,"","",12,"17",2,"",87
"Swiftcurrent High","Silene_acaulis",41,"cushion",74,53,,,3,,"",,"",,"",4,,,"",,"",,,"",3,"","",3,"",,"",87
"Swiftcurrent High","Silene_acaulis",41,"open",74,53,,,,,"",,"",,"",,,,"",,"",,,"",,"","",,"",,"",87
"Swiftcurrent High","Silene_acaulis",42,"cushion",40,30,,,,,"",1,"",,"",1,1,,"",,"",,,"",1,"","",2,"",,"",87
"Swiftcurrent High","Silene_acaulis",49,"cushion",43,33,,,1,,"",1,"",,"",,2,1,"",,"",,2,"",,"","",4,"",,"",87
"Swiftcurrent High","Silene_acaulis",49,"open",43,33,,,,,"",,"",,"",1,,,"",,"",,,"",,"","",,"",,"",87
"Swiftcurrent High","Silene_acaulis",50,"cushion",35,27,,,2,,"",,"",,"",2,,,"",,"",,,"",,"","",4,"",,"",87
"Swiftcurrent High","Silene_acaulis",57,"cushion",38,26,,,1,,"",2,"",,"",,,,"",,"",1,,"",,"","",2,"",,"",87
