site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium var alpina,Agoseris aurantica,Agoseris glauca,Agrostis spp,Anenome drummondii,Antenaria lanata,Arabis lyallii,Arabis nuttalii,Artemisia michauxiana,Astragulus kentrophyta,Besseya alpina,Bromus carinatus,Bupleurum americanum,Carex geyeri,Cerastrium arvense,Cryptantha celosioides,Danthonia intermedia,Draba aurea,Draba oligosperma,Erigeron lanatus,Eriophylum lantanum,Galium boreale,Gallardia aristata,Geum rossi,Heuchera parvifolia,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Myosotis sylvatica,Oxyria digyna,Oxytropis campestris,Phacelia sericea,Phlox diffusa,Poa alpina,Polygonum bistortoides,Potentilla diversifolia,Saussaurea weberi,Saxifraga lyallii,Sedum lanceolata,Sedum roseum,Senecio  spp,Senecio canus,Smelowskia calycina,Taraxacum vulgare,Tofieldia glutinosa,Trifolium parryi,UNKNOWN1,UNKNOWNgrass,dataset code
"Windy Pass","Dasiphora_fruticosa",37,"cushion",49,20,,"","",28,"",,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",4,"","","",,"",,,,"1","","","",88
"Windy Pass","Dasiphora_fruticosa",37,"open",49,20,,"","",,"",,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,2,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",38,"cushion",48,32,9,"","",8,"1",,,"",,,,"",,,"",,"","","",,"","8","","",,"","","4","4","",,,,"",2,"",6,"","","2",,"",1,,,"","","1","",88
"Windy Pass","Dasiphora_fruticosa",38,"open",48,32,,"","",,"",1,,"",,,,"",,,"",,"","","",,"","1","","",,"","","","","",,,,"",,"",1,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",39,"cushion",45,29,,"","",,"",,,"",,,1,"",1,,"",,"","","",,"","","2","",,"","","","","",,4,,"",,"",1,"","","",,"",1,1,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",39,"open",45,29,,"","",,"",,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,,"",1,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",40,"cushion",62,40,8,"","",6,"",,,"",,,1,"",2,,"",,"","","",,"","","","",,"","1","","","",1,,,"",1,"",1,"","","1",,"",,5,,"3","","","",88
"Windy Pass","Dasiphora_fruticosa",40,"open",62,40,,"","",,"",,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",41,"cushion",44,11,,"","",,"",,,"",,,,"",5,,"",,"","","",,"","","","",,"","","","","",,,,"",6,"",,"","","",,"",10,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",41,"open",44,11,,"","",,"",2,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",42,"cushion",53,26,2,"","",9,"",,,"",,,1,"",,,"",,"9","","",,"","6","","",,"","","","","",,,,"",,"",9,"","","",,"",,,,"","","","1",88
"Windy Pass","Dasiphora_fruticosa",42,"open",53,26,3,"","",4,"5",,,"",,,,"",4,,"",,"2","","",,"","","","",,"","","","","",,,,"",1,"",,"","","",,"1",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",43,"cushion",70,35,13,"","",5,"1",,,"",2,3,,"",,,"",,"","","",,"","","","",7,"","","3","","",,,,"",1,"",,"","","",,"",1,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",43,"open",70,35,,"","",,"",,,"",,,,"",,,"",,"","","",,"","","","",,"","","","","",,,,"",,"",,"","","",,"",,,,"","","","",88
"Windy Pass","Dasiphora_fruticosa",44,"cushion",71,37,6,"","",,"3",,,"",3,,,"",,,"",6,"","","",,"","","","",,"","","2","","",,6,,"",4,"",,"","","",,"",4,,,"2","","","",88
