Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Oxyria digyna,Viola biflora,Astragalus alpinus,Bistorta vivipara,Luzula sp,Taraxacum sp,Saxifraga cernua,Salix reticulata,Poa alpina,Gnaphalium supinum,Calamagrostis lapponica,Saxifraga oppositifolia,Equisetum sp,Saxifraga tenuis,Potentilla crantzii,Silene acaulis,Salix polaris,Arabis alpina,Cerastium alpinum,Salix herbacea,Festuca ovina or vivipara,Luzula spicata,Thalictrum alpinum,Dryas octopetala,Cardamine bellidifolia,Bartsia alpina,Carex lachenalii,Juncus trifidus,Juncus biglumis,Salix sp,Luzula arcuata,Ranunculus nivalis,Pinguicula sp,Euphrasia frigida,Cassiope hypnoides,Luzula multiflora,Selaginella selaginoides,Tofieldia pusilla,Carex bigelowii,Minuartia sp
89,"Latnja","Silene acaulis",1,"cushion",29,13,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",1,"open",29,13,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",2,"cushion",28,25,1,1,,8,,1,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",2,"open",28,25,8,,,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",3,"cushion",23,13,2,,,5,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",3,"open",23,13,1,,,3,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",4,"cushion",21,11,,,,4,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",4,"open",21,11,,,,2,3,,3,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",5,"cushion",25,12,1,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",5,"open",25,12,1,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",6,"cushion",24,25,1,,,16,,,,,,,,3,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",6,"open",24,25,,2,2,2,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",7,"cushion",25,25,,,,15,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",7,"open",25,25,,,,18,1,,1,,,,1,1,,,,,,,,,2,,4,1,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",8,"cushion",33,20,,,,18,,,,,,,2,1,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",8,"open",33,20,1,,,2,1,,2,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",9,"cushion",35,27,,2,,23,,,2,,,,3,3,,,4,,,,,,2,,,,,2,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",9,"open",35,27,,,,7,,,,,,,1,7,,,,1,13,,,,1,,,,,,3,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",10,"cushion",33,25,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",10,"open",33,25,1,,,2,4,,1,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",11,"cushion",20,18,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",11,"open",20,18,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",12,"cushion",26,22,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",12,"open",26,22,,,,2,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",13,"cushion",20,15,,,,3,1,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",13,"open",20,15,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",14,"cushion",24,23,,,,2,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",14,"open",24,23,,,,12,3,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",15,"cushion",23,21,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",15,"open",23,21,,,,6,,,,,,,,1,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",16,"cushion",20,18,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
89,"Latnja","Silene acaulis",16,"open",20,18,,,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",17,"cushion",25,20,,,,9,1,,,,1,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,
89,"Latnja","Silene acaulis",17,"open",25,20,,,,13,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,
89,"Latnja","Silene acaulis",18,"cushion",36,23,,,,25,2,,,,,,2,3,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",18,"open",36,23,,,,17,7,,,,,,,,,2,,,15,,,,,,1,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",19,"cushion",35,23,,,,26,3,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
89,"Latnja","Silene acaulis",19,"open",35,23,,,,9,2,,1,,,,,4,,,,3,18,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",20,"cushion",25,20,,,,3,5,,1,,2,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",20,"open",25,20,,,,2,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",21,"cushion",20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,
89,"Latnja","Silene acaulis",21,"open",20,18,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",22,"cushion",26,23,,,,11,,,2,,,,,,,,,,7,,,,,,,,,,11,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",22,"open",26,23,,,,12,3,,2,,4,,,4,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,
89,"Latnja","Silene acaulis",23,"cushion",21,15,,,6,6,1,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",23,"open",21,15,,,,5,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
89,"Latnja","Silene acaulis",24,"cushion",25,15,,2,,21,,,,,,,7,3,,,,,,,,,,,,,,,,,8,,,,1,,,,,,,
