dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea,Ajuga,Androsacaea,Anthyllis,Arabis alpina,Arabis hirsuta,Arenaria,Asteracaea,Bartsia alpina,Bellis,Botrychium lunaria,Brassicacaea,Campanula,Carex curvula,Carex firma,Caryophyllacaea,Draba,Dryas octopetala,Elyna,Festuca dark,Festuca sp,Gentiana sp,Helianthemum,Leontopodium,Papaver,Pedicularis,Poa sp,Polygonum vivparum,Salix,Salix retusa,Saxifraga caesia,Saxifraga oppositifolia,Saxifraga with tooth,Sesleria,Silene acaulis,Thlaspi,Viola
91,"Dolomites 2","Silene acaulis",1,"cushion",43,45,,,,,,,,,,,,,,,,,,2,,,27,,,,,,,5,2,,,,,,,,
91,"Dolomites 2","Silene acaulis",1,"open",43,45,,,,,,,1,,,,,,,,1,,,2,,3,,,,,,,,3,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",2,"cushion",18,19,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,2,,,,,,,,
91,"Dolomites 2","Silene acaulis",2,"open",18,19,,,,,,,,,,,,,2,,,,,1,,,7,,,,,,,,,,1,,,,,,
91,"Dolomites 2","Silene acaulis",3,"cushion",18,15,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",3,"open",18,15,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,2,,
91,"Dolomites 2","Silene acaulis",4,"cushion",19,15,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",4,"open",19,15,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,2,,
91,"Dolomites 2","Silene acaulis",5,"cushion",28,25,,,,,,,,,,,,,,,,,,,,,14,,,,,,2,,,5,,,,,,,
91,"Dolomites 2","Silene acaulis",5,"open",28,25,,,,,,1,2,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,
91,"Dolomites 2","Silene acaulis",6,"cushion",16,15,,,,,,,,,,,,,,,,,,,,,10,,,,,,,2,,,,,,,,,
91,"Dolomites 2","Silene acaulis",6,"open",16,15,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",7,"cushion",48,70,,,,,,,,,,,,,,,,,,,,1,47,,,,,,,3,,2,,,,,,,
91,"Dolomites 2","Silene acaulis",7,"open",48,70,,,,,,1,,1,,,,,3,,,,,,,10,,,,,,,2,2,,,,,,,,,
91,"Dolomites 2","Silene acaulis",8,"cushion",38,37,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",8,"open",38,37,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",9,"cushion",48,24,,,,,1,,,5,,,3,,,,,,,,,,3,,,,,,,1,,,,,,5,,,
91,"Dolomites 2","Silene acaulis",9,"open",48,24,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,1,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",10,"cushion",20,20,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,1,,,,1,,,
91,"Dolomites 2","Silene acaulis",10,"open",20,20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",11,"cushion",41,40,,,,,,,,4,,,3,,8,,,,,,,,16,1,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",11,"open",41,40,,,,,,,,,,,,,6,,1,,,,,3,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",12,"cushion",30,20,,,,,,1,,1,,,,,5,,1,,,,,,10,,,,1,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",12,"open",30,20,1,,,,2,,,,,,,,8,,,,,,,4,2,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",13,"cushion",29,30,,,,,,1,,,,,,,,,,,,,,,10,2,,,,,2,,,,,,,1,,,4
91,"Dolomites 2","Silene acaulis",13,"open",29,30,,,,,2,,,,,,,,,,,,,,,2,5,,,,,,,1,,,,,,2,,,
91,"Dolomites 2","Silene acaulis",14,"cushion",25,23,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",14,"open",25,23,,,,,1,,,,,,,,,,,,,,,1,3,6,,,1,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",15,"cushion",38,20,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",15,"open",38,20,,,,,4,,,,,,,,,,,,,,,7,2,2,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",16,"cushion",14,17,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",16,"open",14,17,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",17,"cushion",34,40,,,,,2,,1,,,,2,,,,,,,,,,20,,,,,,8,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",17,"open",34,40,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",18,"cushion",16,13,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",18,"open",16,13,,,,,2,,1,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",19,"cushion",33,21,,,,,2,,,,,,,,,,,,,,,,15,,,2,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",19,"open",33,21,,,,,1,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",20,"cushion",26,20,,,,,1,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",20,"open",26,20,,,,,1,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,
91,"Dolomites 2","Silene acaulis",21,"cushion",49,23,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",21,"open",49,23,,,,,4,,2,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",22,"cushion",11,10,,,,,,,,,,,,,,,,,,,,,23,,,,,,1,,,,,,,,,,
91,"Dolomites 2","Silene acaulis",22,"open",11,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,
