dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Androaceae,Arabis,Arenaria,Astragulus,Carex spp1,Caryo1,Cerastium alpina,Draba,Eretrichium,Festuca,Gentiana,Hutchinsia alpina,Oxytropis,Poa,Polygonom,Primula,Pritzelago,Salix,Salix serpellyfolia,Saxafraga THIN,Saxifraga oppositifolia,Saxifraga ROUND,Seselaria,Silene,Carex curvula,Carex firma
1364,"Saxifrage yellow","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
1536,"Saxifraga spp","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
1562,"Saxifraga spp","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
1597,"Saxifraga 1 (creeping)","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
1598,"Saxifraga 2 (pink/leafy)","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
1635,"Saxifraga 1","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
1636,"Saxifraga 2","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
2129,"Saxifraga with tooth","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
2155,"Saxafraga THIN","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
2157,"Saxifraga ROUND","",,"Saxifragaceae","Saxifraga",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102359984284387,,,,,,,,,,,,,,,,,,,,,,,,,
783,"Schizeilma","",,"Apiaceae","Schizeilema",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124611266086912,,,,,,,,,,,,,,,,,,,,,,,,,
849,"Scilla","",,"Liliaceae","Scilla",,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011125885371963,,,,,,,,,,,,,,,,,,,,,,,,,
1435,"Sedum spp (stonecrop)","",,"Crassulaceae","Sedum",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142420344899798,,,,,,,,,,,,,,,,,,,,,,,,,
1480,"Sedum spp (stonecrop)","",,"Crassulaceae","Sedum",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142420344899798,,,,,,,,,,,,,,,,,,,,,,,,,
1637,"Sedum","",,"Crassulaceae","Sedum",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000756602522993128,,,,,,,,,,,,,,,,,,,,,,,,,
1915,"Sedum sp.","",,"Crassulaceae","Sedum",,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142420344899798,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Senecio sp","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
,"Senecio sp.","",,"Asteraceae","Senecio",,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"Senecio sp","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
851,"Senecio","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189150121567724,,,,,,,,,,,,,,,,,,,,,,,,,
876,"Senecio dents","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
875,"Senecio","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000189150121567724,,,,,,,,,,,,,,,,,,,,,,,,,
1232,"Senecio sp","",,"Asteraceae","Senecio",,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044506188068797,,,,,,,,,,,,,,,,,,,,,,,,,
