dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Alchemilla,Arabis hischuta,Arenaria,Botrychium,Campanula,Carex firma,Cerastium,Draba,Festuca,Galium,Helianthemum,Leont,Ligusticum,Linnaria,Oxytrop,Poa,Polygonum viviparum,Pritzelago,Ranunculus,Salix restrata,Salix serpyllfolia,Seslaria,Silene,Thlaspi,Thlaspi 2,Viola
94,"Dolomites 5","Silene acaulis",1,"cushion",90,80,,,,,,,,,8,,,1,,,7,15,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",1,"open",90,80,,,,,,,,,,,,,,,2,1,,,,,,,1,,,
94,"Dolomites 5","Silene acaulis",2,"cushion",27,28,,,,,,,,,1,,,1,,,3,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",2,"open",27,28,,,,,,,,,,,,,,,1,,,,,,,,1,,,
94,"Dolomites 5","Silene acaulis",3,"cushion",33,36,,,,,3,,,,3,,,6,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",3,"open",33,36,,,,,3,,,,,,,,,,1,,,,,,,,5,,,
94,"Dolomites 5","Silene acaulis",4,"cushion",59,50,,,,,1,,,,32,,,,,,7,11,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",4,"open",59,50,,,,,5,,1,,3,1,,1,,1,1,,,,,,,,1,2,,
94,"Dolomites 5","Silene acaulis",5,"cushion",47,42,,,,1,6,,,1,,4,,2,,,1,6,,,,,,,,,4,
94,"Dolomites 5","Silene acaulis",5,"open",47,42,,,,,1,,,,,,,1,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",6,"cushion",57,50,,,,,8,,,,,4,,,,,,8,1,,,1,,,,,,
94,"Dolomites 5","Silene acaulis",6,"open",57,50,,,1,,11,,,,,,,,,,1,,,,3,,,,,,,
94,"Dolomites 5","Silene acaulis",7,"cushion",48,32,,,,,1,,,2,15,,,6,,,3,,,,1,,,,,,,
94,"Dolomites 5","Silene acaulis",7,"open",48,32,,,,,16,,,,,,,,,,,1,,,2,,,,,,,
94,"Dolomites 5","Silene acaulis",8,"cushion",108,50,,,,,2,,,,34,,,3,,,6,17,12,,,19,,,,,,
94,"Dolomites 5","Silene acaulis",8,"open",108,50,,,3,,12,,,1,3,2,,,,1,1,3,,,3,,,,,,,
94,"Dolomites 5","Silene acaulis",9,"cushion",37,30,,,,,,,,,16,8,,,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",9,"open",37,30,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",10,"cushion",47,42,9,,,,1,,,,6,1,,4,,,,2,5,,,,,,,,,
94,"Dolomites 5","Silene acaulis",10,"open",47,42,,,,,9,,,,,,,,,,,,,,1,,,,,,,
94,"Dolomites 5","Silene acaulis",11,"cushion",30,35,,,,,,,,,,,,,,,2,,,,,,,,,,,
94,"Dolomites 5","Silene acaulis",11,"open",30,35,,,,,,,,,,,,,,,1,,,,,,,,,,,
