Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agoseris aurantiaca,Agoseris glauca,Antenaria lanata,Arenaria congesta,Arnica diversifolia,Carex bigelowii,Castilleja miniata,Cirsium etonii,Draba cana,Erigeron simplex,Erigeron tomentosa,Festuca arizonica,Ivesia gordoni,Minuartia macrantha,Poa alpina,Potentilla gracilis,Sedum debile,Senecio amplectum,Silene acaulis,Smelowskia calycina,Solidago multiradiata,Thalictrum fendleri,Thlaspi montanum,Trisetum spicatum,UNKleaf
95,"Piegan Pass 2010","Silene acaulis",1,"cushion",36,50,1,"",1,,,,"",,"",,,,4,,,,,"",,,,,,5,
95,"Piegan Pass 2010","Silene acaulis",2,"cushion",22,30,,"",,,,,"",,"",,,,2,,1,,,"",,2,,,3,,
95,"Piegan Pass 2010","Silene acaulis",3,"cushion",50,30,,"",,8,,,"",,"",,,,3,,,,,"",,,1,,1,5,1
95,"Piegan Pass 2010","Silene acaulis",4,"cushion",40,20,,"",,,,,"",,"",,,,2,,3,,,"",,,1,,9,1,
95,"Piegan Pass 2010","Silene acaulis",5,"cushion",40,25,,"",,,,,"",,"",,,,1,,,,,"",,4,4,,2,,
95,"Piegan Pass 2010","Silene acaulis",6,"cushion",40,40,,"",,,,,"",,"",,,,5,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",7,"cushion",30,25,,"",,,,,"",,"",,,,1,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",8,"cushion",45,30,,"",2,,,1,"",,"",,,,2,,4,,,"",,,1,,2,2,
95,"Piegan Pass 2010","Silene acaulis",9,"cushion",20,20,,"",1,,,,"",,"",,,,,,1,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",10,"cushion",40,25,,"",,,,,"",,"",,,,1,,9,,,"",,,,,,4,
95,"Piegan Pass 2010","Silene acaulis",11,"cushion",25,20,,"",,,,,"",,"",,,,2,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",12,"cushion",50,35,,"",2,,,,"",,"",,,,,,2,,1,"",1,,3,,,2,
95,"Piegan Pass 2010","Silene acaulis",13,"cushion",20,20,,"",,,,,"",,"",,,,6,,1,,,"",,,1,,1,,
95,"Piegan Pass 2010","Silene acaulis",14,"cushion",30,15,,"",,,,,"",,"",,,,,,1,,,"",,,1,,1,5,
95,"Piegan Pass 2010","Silene acaulis",15,"cushion",60,20,,"",,2,,,"",,"",,,,,,,,,"",,,,,3,1,
95,"Piegan Pass 2010","Silene acaulis",16,"cushion",50,30,1,"",,,,,"",,"",,,,1,,4,,,"",,,7,1,,10,
95,"Piegan Pass 2010","Silene acaulis",17,"cushion",35,30,,"",,,1,,"",,"",,,,,,2,,,"",,,1,,2,2,
95,"Piegan Pass 2010","Silene acaulis",18,"cushion",20,30,,"",,,,,"",,"",,,,1,,2,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",19,"cushion",40,15,,"",,,3,,"",,"",,,,,,10,,,"",,,,,3,,
95,"Piegan Pass 2010","Silene acaulis",20,"cushion",25,15,1,"",,,,,"",,"",,,,3,,,,,"",,,,,1,,
95,"Piegan Pass 2010","Silene acaulis",21,"cushion",25,35,,"",1,4,,5,"",,"",,11,,,2,1,1,,"",,,4,,,1,
95,"Piegan Pass 2010","Silene acaulis",22,"cushion",40,50,,"",2,,4,,"",,"",,,,,,2,,,"",,,5,,,4,
95,"Piegan Pass 2010","Silene acaulis",23,"cushion",55,30,,"",,,,,"",,"",1,,,,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",24,"cushion",60,45,,"",,,,,"",,"",1,,,9,,9,1,,"",,1,,,3,3,
95,"Piegan Pass 2010","Silene acaulis",25,"cushion",50,30,2,"",,,3,,"",2,"",,,3,5,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",26,"cushion",60,30,,"",,,1,,"",,"",,,2,4,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",27,"cushion",15,35,,"",,,,,"",,"",,,1,1,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",28,"cushion",55,25,,"",,,,,"",,"",3,,7,,,5,,,"",,,,,2,1,
95,"Piegan Pass 2010","Silene acaulis",29,"cushion",45,30,,"",,,9,,"",,"",,,3,,,5,,,"",,,1,,,,
95,"Piegan Pass 2010","Silene acaulis",30,"cushion",50,30,1,"",,,,,"",,"",,,4,4,,1,,,"",,,,,1,2,
95,"Piegan Pass 2010","Silene acaulis",31,"cushion",25,35,,"",,,,,"",1,"",,,4,,,2,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",32,"cushion",20,20,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",33,"cushion",25,25,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",34,"cushion",25,25,,"",,,,,"",1,"1",,,3,,,1,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",35,"cushion",20,30,2,"",,,,,"",,"",,,2,2,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",36,"cushion",55,30,4,"",,,,,"",,"",,,5,2,,3,,,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",37,"cushion",30,30,,"",,,,,"",,"",,,2,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",38,"cushion",20,20,1,"",1,,,,"",,"",,,,,,4,,,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",39,"cushion",35,20,3,"",2,,,,"",,"",,,2,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",40,"cushion",30,20,,"",6,,3,,"",,"",,,,2,,4,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",41,"cushion",30,30,,"",,,5,,"",1,"",,,1,1,,,,1,"",,,1,,1,3,
95,"Piegan Pass 2010","Silene acaulis",42,"cushion",45,40,,"",1,,,,"",1,"",,,,1,,1,,,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",43,"cushion",40,15,,"",2,,,,"",,"",3,,1,,,1,,,"",1,,,,,,
95,"Piegan Pass 2010","Silene acaulis",44,"cushion",25,20,,"",3,,,,"",,"",,,10,1,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",45,"cushion",30,40,,"",,,,,"",,"",,,6,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",46,"cushion",30,50,,"",,,,,"",,"",,,11,2,,,,,"",,,,,1,,
95,"Piegan Pass 2010","Silene acaulis",47,"cushion",25,20,,"",1,,6,,"",,"",,,3,1,,,,,"",,1,1,,,,
95,"Piegan Pass 2010","Silene acaulis",48,"cushion",30,30,,"1",,,,,"",,"",,,14,,,,,,"",,,,,1,,
95,"Piegan Pass 2010","Silene acaulis",49,"cushion",30,10,,"",1,,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",50,"cushion",15,20,,"",,,,,"",,"",,,,2,,,,,"",,,3,,,,
95,"Piegan Pass 2010","Silene acaulis",51,"cushion",45,15,,"",1,1,,,"",,"",,,,2,,,,,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",52,"cushion",35,30,,"",1,1,,,"",,"",,,,3,,,,,"",,,3,,,,
95,"Piegan Pass 2010","Silene acaulis",53,"cushion",25,15,,"",,1,,,"",,"",2,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",54,"cushion",35,10,,"",,1,,,"",,"",,,,,,1,,,"",,,1,,,2,
95,"Piegan Pass 2010","Silene acaulis",55,"cushion",20,30,,"1",,,,,"",,"",,,3,3,,,,,"",,,,,12,1,
95,"Piegan Pass 2010","Silene acaulis",56,"cushion",35,40,,"2",,,,1,"",,"",,,2,,,,,1,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",57,"cushion",15,30,,"1",,,,,"",,"",,,1,4,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",58,"cushion",30,30,,"",,1,,,"2",,"",,,,1,,,,,"",,,1,,,4,
95,"Piegan Pass 2010","Silene acaulis",59,"cushion",35,40,,"",,5,,,"5",,"",,,2,,,,,,"1",,,,,1,3,
95,"Piegan Pass 2010","Silene acaulis",60,"cushion",20,30,,"",,,,,"",,"",,,5,,,,,,"",,,1,,,2,
95,"Piegan Pass 2010","Silene acaulis",61,"cushion",20,25,1,"",,,,,"",,"",,,2,2,,,,,"",,,5,,,1,
95,"Piegan Pass 2010","Silene acaulis",62,"cushion",15,20,,"",,5,,,"",,"",,,,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",63,"cushion",50,15,,"",,,4,,"",,"",,,3,3,,3,,,"",,,,,,5,
95,"Piegan Pass 2010","Silene acaulis",64,"cushion",15,30,,"",,1,,,"",,"",,,,,,1,,,"",,,,,,4,
95,"Piegan Pass 2010","Silene acaulis",65,"cushion",20,30,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",66,"cushion",20,50,,"",,,,,"",,"",,,1,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",67,"cushion",20,30,,"",,,,,"",,"",,,6,2,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",68,"cushion",20,25,,"",,,4,,"",,"",,,2,,,2,,,"",,,,,3,,
95,"Piegan Pass 2010","Silene acaulis",69,"cushion",30,40,,"",,,6,,"",,"",,,4,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",70,"cushion",25,30,,"",,,,,"",,"",1,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",71,"cushion",20,30,,"",,,,,"",,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",72,"cushion",30,45,,"",,,,,"",1,"",,,,1,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",73,"cushion",80,25,1,"",,,8,,"",,"",,,2,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",74,"cushion",35,40,,"",,,,,"",,"",,,4,,,,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",75,"cushion",20,15,,"",1,,,,"",,"",,,1,1,,1,,,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",76,"cushion",35,20,,"",,1,10,,"",2,"",,,1,1,,1,,,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",77,"cushion",25,40,1,"",,,,,"",,"",,,,,,4,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",78,"cushion",25,40,,"",,,3,,"",,"",,,,,,3,,,"",,,,,,4,
95,"Piegan Pass 2010","Silene acaulis",79,"cushion",20,40,,"",1,,11,1,"",1,"",,2,,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",80,"cushion",45,20,,"",1,,,,"",,"",,,,,,1,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",1,"open",36,50,,"",,,,,"",,"",2,,,1,,,,,"",,,,,,4,
95,"Piegan Pass 2010","Silene acaulis",2,"open",22,30,,"",,,,,"",,"",,,,1,,,,1,"",,,,,1,1,
95,"Piegan Pass 2010","Silene acaulis",3,"open",50,30,,"",,,,,"",,"",,,,2,,,,,"",,,,,1,1,
95,"Piegan Pass 2010","Silene acaulis",4,"open",40,20,,"",,,,,"",,"",,,,3,,2,,,"",,1,1,,,,
95,"Piegan Pass 2010","Silene acaulis",5,"open",40,25,,"",,,,,"",,"",,,,3,,,,,"",,,1,,,,
95,"Piegan Pass 2010","Silene acaulis",6,"open",40,40,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",7,"open",30,25,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",8,"open",45,30,,"",,,,,"",,"",,,,2,,,,,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",9,"open",20,20,,"",,,,,"",1,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",10,"open",40,25,,"",,,,,"",,"",,,,,,1,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",11,"open",25,20,,"",,,,,"",,"",,,,,,,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",12,"open",50,35,,"",,,,,"",,"",,,,1,,,,1,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",13,"open",20,20,,"",,,,,"",,"",,,,,,1,,3,"",,,2,,1,,
95,"Piegan Pass 2010","Silene acaulis",14,"open",30,15,,"",,,,,"",,"",,,,2,,,,1,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",15,"open",60,20,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",16,"open",50,30,,"",,,,,"",2,"",,,,1,,5,,1,"",,,2,,,1,
95,"Piegan Pass 2010","Silene acaulis",17,"open",35,30,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",18,"open",20,30,,"",,,,,"",,"",,,,1,,,,,"",,,2,,,2,
95,"Piegan Pass 2010","Silene acaulis",19,"open",40,15,,"",,,,,"",,"",,,,,,,,,"",,,1,,,,
95,"Piegan Pass 2010","Silene acaulis",20,"open",25,15,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",21,"open",25,35,,"",,,,,"",,"",,,,2,,1,1,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",22,"open",40,50,,"",,,,,"",,"",,,,1,,1,,,"",,,2,,,1,
95,"Piegan Pass 2010","Silene acaulis",23,"open",55,30,,"",,,,,"",,"",,,,1,,3,,,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",24,"open",60,45,,"",,,,,"",,"",,1,,,1,3,,3,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",25,"open",50,30,,"",2,,,,"",,"",,,,3,,,,,"",,,,,,3,
95,"Piegan Pass 2010","Silene acaulis",26,"open",60,30,,"",,,,,"",,"",,,,1,,2,,,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",27,"open",15,35,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",28,"open",55,25,,"",,,,,"",,"",,,5,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",29,"open",45,30,,"",,,,,"",1,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",30,"open",50,30,,"",,,,,"",,"",,,,,,5,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",31,"open",25,35,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",32,"open",20,20,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",33,"open",25,25,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",34,"open",25,25,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",35,"open",20,30,,"",,,,,"",,"",,,,,,1,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",36,"open",55,30,,"",,,,,"",,"",,,1,,,,,1,"",,,,,,1,
95,"Piegan Pass 2010","Silene acaulis",37,"open",30,30,,"",,,,,"",,"",,,1,1,,3,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",38,"open",20,20,,"",,,,,"",,"",,,,1,,1,,,"",,,,,,2,
95,"Piegan Pass 2010","Silene acaulis",39,"open",35,20,,"",,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",40,"open",30,20,,"",2,,,,"",,"",,,,,,,,,"",,,,,,,
95,"Piegan Pass 2010","Silene acaulis",41,"open",30,30,,"",,,,,"",,"",,,,1,,1,,,"",,,1,,,1,
95,"Piegan Pass 2010","Silene acaulis",42,"open",45,40,,"",,,,,"",,"",,,,,,1,,,"",,,,,,1,
