Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis borealis,Agrostis scabra,Androsace chamaejasme,Antenaria alpina,Astragalus kentrophyta implexus,Carex podocarpa,Cerastrium nutans,Chrysosplenium tetrandum,Cirsium tweedyi,Claytonia megarhiza,Deschampsia caespitosa,Draba longipes,Erigeron aureus,Festuca brachyphylla,Hedysarum alpinum,Oxyria dignya,Phleum commutatum,Poa alpina,Polemonium viscosum,Polygonum viviparum,Salix arctica,Salix reticulata,Saussarea weberi,Saxifraga lyallii,Saxifraga oppositifolia,Sedum roseum,Senecio canus,Senecio fremontii,Smelowskia calycia,Stellaria borealis,Taraxacum officinale,UKN fuzzy  purple
97,"Ptarmigan Cirque","Silene acaulis",1,"cushion",33,28,,5,,,,,,,,,,,,8,,,,2,,3,11,,,,5,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",1,"open",33,28,,,,,,,,,,,,,,2,,,,,,5,13,,,,1,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",2,"cushion",21,21,,2,,,,,,,,,4,,,2,,,,,,,,,1,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",2,"open",33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
97,"Ptarmigan Cirque","Silene acaulis",3,"cushion",35,26,,3,,,,,,,,,,,,2,,,,2,,,,,3,,,,3,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",3,"open",35,26,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",4,"cushion",8,8,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",4,"open",8,8,,,,,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",5,"cushion",10,17,,,,,,3,,,,,2,,,3,,,,,,1,17,,,,,,2,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",5,"open",10,17,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,4,,,
97,"Ptarmigan Cirque","Silene acaulis",6,"cushion",23,18,,3,,,,,,,,,2,,,,,,,2,,,,,,1,3,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",6,"open",23,18,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",7,"cushion",12,12,,,2,,,,,,,,1,,,,,,,,,,23,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",7,"open",12,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",8,"cushion",31,38,,5,,,,,,,,,1,,2,7,,,,,,,,,,,3,4,,,,,,
