Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Achillea millefolium alpicola,Agoseris villosa,Agrostis spp1,Agrostis spp2,Anenome parviflora,Antenaria lanata,Aquilegia caerula,Aquilegia caerulea,Arenaria rossii,Arnica alpina,Artemisia frigida,Astrag bourgovii,Astragalus kentrophyta,Bessyea wyomingensis,Bromus spp,Bupleurum americanum,Carex geyeri,Carex parryana,Cerastium alpinum,Cerastrium vulgare,Claytonia megarhriza,Dodecatheon pulchellum,Draba oligosperma,Erigeron lanatus,Erigonum subalpinum,Festuca idahoensis,Fritillaria pudica,Galium boreale,Geum rossii,Gnaphalium decurrens,Hedysarum alpinum,Heuchera parviflora,Linum lewisii,Lupinus sericeus,Mertensia lanceolata,Minuartia obtusiloba,Myosotis sylvatica alpestris,Oxyria digyna,Oxytropis campestris,Pedicularis bracteosa,Penstemon lyallii,Phacelia sericea,Plantago tweedyi,Poa alpina,Poa sandbergii,Polemonium boreale,Polygonum viviparum,Potentila diversifolia,Potentilla fruiticosa,Saussarea weberi,Saxifraga occidentalis,Saxifraga bronchialis,Saxifraga ascendens,Saxifraga lyallii,Saxifraga rhomboidea,Sedum lanceolata,Sedum roseum,Senecio canus,Senecio triangularis,Smelowskia calycina,Stenanthium occidentale,Synthris pinnatifia,Taraxacum vulgare,Tofieldia glutinosa,UNK1,UNK2,UNK fuzzy
98,"Windy Pass 2","Silene acaulis",1,"cushion",34,23,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",1,"open",34,23,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",2,"cushion",21,17,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,1,,3,,,,1,,,,,
98,"Windy Pass 2","Silene acaulis",2,"open",21,17,,,,,,1,,,,,,,,2,,1,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",3,"cushion",51,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",3,"open",51,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",4,"cushion",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,
98,"Windy Pass 2","Silene acaulis",4,"open",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",5,"cushion",25,19,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,
98,"Windy Pass 2","Silene acaulis",5,"open",25,19,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",6,"cushion",38,27,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,1,,,2,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",6,"open",38,27,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,
98,"Windy Pass 2","Silene acaulis",7,"cushion",38,45,5,,,7,,,,1,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,9,,,,,,1,,,2,,,2,,,,1,,,
98,"Windy Pass 2","Silene acaulis",7,"open",38,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",8,"cushion",22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,7,,,,,,,
98,"Windy Pass 2","Silene acaulis",8,"open",22,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",9,"cushion",28,28,2,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",9,"open",28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Windy Pass 2","Silene acaulis",10,"cushion",35,17,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,15,,,,,,,,,,,,2,,,,,,,
98,"Windy Pass 2","Silene acaulis",10,"open",35,17,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,1,,,,,,,
98,"Windy Pass 2","Silene acaulis",11,"cushion",34,30,,,,,,,,,,,,,4,5,,1,,5,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,2,,,,,,,,4,,,,,,,
