Site,Cushion species,sample,cushion/open,Flower #,Flower gender,x-axis (cm),y-axis (cm),Antennaria alpina,Bistorta vivipara,Buttercup,Carex spp,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Dryas octopetala,Grass spp,Lichen,Moss,Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Potentilla spp (Cinquefoil),Red gentian?,Rock lichen,Salix cascadensis (Salix 2),Salix spp,Saxifraga nelsoniana (Lobe leaf),Saxifraga nivalis (Dandel),Saxifraga oppositifolia,Silene acaulis,Small gen,Notes,dataset code
"Cathedral Lake 2","Saxifraga oppositifolia",7,"cushion",60,"un",42.3,14.2,,6,,4,,,,10,,,,10,,,,,,15,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",13,"cushion",10,"un",15.2,8.3,,,,,,,,,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",13,"open",,"",,,,,,,,,,,,,,,,,,3,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",14,"cushion",3,"un",27.2,16.9,,,,3,,,,3,,,,5,,,,,,,,,,,,"litter",99
"Cathedral Lake 2","Saxifraga oppositifolia",14,"open",,"",,,,,,,,,,,,,,,,,,3,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",15,"cushion",11,"un",15.5,15.4,,,,8,,,,2,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",15,"open",,"",,,,,,,,,,,,,,,,,,2,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",16,"cushion",30,"un",27.9,12.5,,,,,,,,2,,,,,,,,,,20,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",16,"open",,"",,,,,,,,,,,,1,,,,,,3,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",17,"cushion",6,"un",21,14.5,,,,,,,,5,,,,,,,,,,8,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",17,"open",,"",,,,,,,,,,,,,,,,,,2,,20,,,,,,"litter",99
"Cathedral Lake 2","Saxifraga oppositifolia",18,"cushion",25,"un",25.5,17,,2,,,,,,10,,,,,,,,,,5,,,,,,"litter",99
"Cathedral Lake 2","Saxifraga oppositifolia",30,"open",,"",,,,,,,,,,,,,,,,,,2,,3,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",31,"cushion",38,"",28,27,,2,,,,,,9,,,,,,,,,,30,,,,,1,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",1,"cushion",58,"un",18.2,14.9,,,,,,,,5,1,1,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",1,"open",,"",,,,,,,,,,,,,,,,,,2,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",2,"cushion",20,"un",22.5,11.4,,,,,,,,,,,,,,,,,,,,,,,,"litter",99
"Cathedral Lake 2","Saxifraga oppositifolia",2,"open",,"",,,,,,5,,,,,,,,,,,,2,,,,,,,,"litter",99
"Cathedral Lake 2","Saxifraga oppositifolia",3,"cushion",60,"un",38.2,24.9,,,,15,,,,10,,,,,2,,10,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",3,"open",,"",,,,,,,,,,,,,,,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",4,"cushion",20,"un",26.2,19.2,,,,1,,,,4,,,,,,,20,,,,,,,,,"",99
