Dataset code,Original recorded  name,Higher taxon,Family,Genus,Species,Subspecies etc,Checked?
85,"Pteridophyte","Pteridophyta","","","","",1
90,"Achillea","","Asteraceae","Achillea","","",1
91,"Achillea","","Asteraceae","Achillea","","",1
90,"Ajuga","","Lamiaceae","Ajuga","","",1
91,"Ajuga","","Lamiaceae","Ajuga","","",1
90,"Alchemilla","","Rosaceae","Alchemilla","","",1
94,"Alchemilla","","Rosaceae","Alchemilla","","",1
90,"Androsacae","","Primulaceae","Androsace","","",1
91,"Androsacaea","","Primulaceae","Androsace","","",1
92,"Androaceae","","Primulaceae","Androsace","","",1
90,"Antilles","","Fabaceae","Anthyllis","","",1
91,"Anthyllis ","","Fabaceae","Anthyllis","","",1
90,"Arabis","","Brassicaceae","Arabis","","",1
92,"Arabis","","Brassicaceae","Arabis","","",1
93,"Arabis","","Brassicaceae","Arabis","","",1
90,"Arctostaphylos","","Ericaceae","Arctostaphylos","","",1
90,"Arenaria","","Caryophyllaceae","Arenaria","","",1
91,"Arenaria","","Caryophyllaceae","Arenaria","","",1
92,"Arenaria","","Caryophyllaceae","Arenaria","","",1
94,"Arenaria","","Caryophyllaceae","Arenaria","","",1
92,"Astragulus","","Fabaceae","Astragulus","","",1
91,"Bellis","","Asteraceae","Bellis","","",1
94,"Botrychium","Pteridophyta","Botrychiaceae","Botrychium","","",1
90,"Campanula","","Campanulaceae","Campanula","","",1
91,"Campanula","","Campanulaceae","Campanula","","",1
94,"Campanula","","Campanulaceae","Campanula","","",1
94,"Cerastium","","Brassicaceae","Cerastium","","",1
91,"Draba","","Brassicaceae","Draba","","",1
92,"Draba","","Brassicaceae","Draba","","",1
93,"Draba","","Brassicaceae","Draba","","",1
94,"Draba","","Brassicaceae","Draba","","",1
90,"Dryas","","Rosaceae","Dryas","","",1
90,"Elyna","","Cyperaceae","Elyna","","",1
91,"Elyna","","Cyperaceae","Elyna","","",1
92,"Festuca","","Poaceae","Festuca","","",1
93,"Festuca","","Poaceae","Festuca","","",1
94,"Festuca","","Poaceae","Festuca","","",1
94,"Galium","","Rubiaceae","Galium","","",1
90,"Gentiana","","Gentianaceae","Gentiana","","",1
92,"Gentiana","","Gentianaceae","Gentiana","","",1
75,"Carex nardina","","Cyperaceae","Carex","nardina","",1
90,"Gnapthalium","","Asteraceae","Gnaphalium","","",1
90,"Helianthemum","","Cistaceae","Helianthemum","","",1
91,"Helianthemum","","Cistaceae","Helianthemum","","",1
94,"Helianthemum","","Cistaceae","Helianthemum","","",1
90,"Juniperus","","Cupressaceae","Juniperus","","",1
90,"Leontodon","","Asteraceae","Leontodon","","",1
94,"Leont","","Asteraceae","Leontodon","","",1
91,"Leontopodium","","Asteraceae","Leontopodium","","",1
94,"Ligusticum","","Apiaceae","Ligusticum","","",1
94,"Linnaria","","Scrophulariaceae","Linaria","","",1
90,"Minuartia","","Caryophyllaceae","Minuartia","","",1
93,"Minuartia","","Caryophyllaceae","Minuartia","","",1
92,"Oxytropis","","Fabaceae","Oxytropis","","",1
94,"Oxytrop","","Fabaceae","Oxytropis","","",1
91,"Papaver","","Papaveraceae","Papaver","","",1
91,"Pedicularis","","Orobanchaceae","Pedicularis","","",1
90,"Phyteuma","","Campanulaceae","Phyteuma","","",1
92,"Poa","","Poaceae","Poa","","",1
94,"Poa","","Poaceae","Poa","","",1
92,"Polygonom","","Polygonaceae","Polygonom","","",1
93,"Polygonum","","Polygonaceae","Polygonum","","",1
90,"Primula","","Primulaceae","Primula","","",1
92,"Primula","","Primulaceae","Primula","","",1
92,"Pritzelago","","Brassicaceae","Pritzelago","","",1
94,"Pritzelago","","Brassicaceae","Pritzelago","","",1
93,"Ranunculus","","Ranunculaceae","Ranunculus","","",1
94,"Ranunculus","","Ranunculaceae","Ranunculus","","",1
91,"Salix ","","Salicaceae","Salix","","",1
92,"Salix","","Salicaceae","Salix","","",1
93,"Saxifraga","","Saxifragaceae","Saxifraga","","",1
90,"Seselaria","","Poaceae","Sesleria","","",1
91,"Sesleria","","Poaceae","Sesleria","","",1
92,"Seselaria","","Poaceae","Sesleria","","",1
94,"Seslaria","","Poaceae","Sesleria","","",1
90,"Silene","","Caryophyllaceae","Silene","","",1
92,"Silene","","Caryophyllaceae","Silene","","",1
93,"Silene","","Caryophyllaceae","Silene","","",1
94,"Silene","","Caryophyllaceae","Silene","","",1
90,"Soldenella","","Primulaceae","Soldanella","","",1
90,"Thlaspi","","Brassicaceae","Thlaspi","","",1
91,"Thlaspi","","Brassicaceae","Thlaspi","","",1
90,"Veronica","","Scrophulariaceae","Veronica","","",1
91,"Viola","","Violaceae","Viola","","",1
94,"Viola","","Violaceae","Viola","","",1
88,"UNKNOWNgrass","","Poaceae","","","",1
91,"Asteracaea","","Asteraceae","","","",1
91,"Brassicacaea","","Brassicaceae","","","",1
