site name,cushion spp (Genus_species),recorder(s),e-mail/contact,date (year),NOTES,est alt (m),Alternative site name (if different),lat,long,country,lat/long source,Dataset code
"Ecuador1","Pentacalia_microdon","","",2008,"",4500,"",-0.655788,-78.440186,"","",1
"Bald Mt.","Eriogonum_umbellatum ssp. Porteri","","",2009,"",3550,"ray.callaway@mso.umt.edu",40.694975,-110.90494,"","",37
"Ecuador1","Xenophyllum_humile","","",2008,"",4700,"",-0.471706,-78.158175,"","",2
"Ecuador2","Azorella_aretioides","","",2009,"",4550,"",-0.467464,-78.166753,"","",3
"Torres del Paine","Azorella_monantha","","",2009,"",720,"lcaviere@udec.cl",-51.175833,-72.848333,"","",64
"Ecuador2","Azorella_aretioides","","",2009,"",4700,"",-0.472269,-78.158605,"","",4
"Atacama","Picnophyllum_bryoides","","",2004,"",4300,"lcaviere@udec.cl",-22.575611,-68.037027,"","",5
"Cathedral Lake 2_Sax opp","Saxifraga_oppositifolia","","",2010,"",2510,"",49.0505155,-120.218209,"","",99
"Rogers Pass","Antennaria_umbrinella","","",2008,"",1796,"rgavilan@farm.ucm.es",47.078239,-112.372099,"","",33
"Antuco","Oreopolus_glacialis","","",2000,"",2052,"",-37.459167,-71.122778,"","",15
"Antuco","Azorella_trifurcata","","",2000,"",1400,"",-37.463333,-71.316667,"","",16
"Bariloche","Mulinium_leptacanthum","","",2003,"",1700,"",-41.2675,-71.303056,"","",17
"Bariloche","Oreopolus_glacialis","","",2003,"",1700,"",-41.2675,-71.303056,"","",18
"Bariloche","Discaria_nana","","",2003,"",1700,"",-41.2675,-71.303056,"","",19
"Coyhaique","Oreopolus_glacialis","","",2009,"",736,"",-45.504166,-71.708333,"","",20
"Coyhaique","Baccharis_magellanica","","",2009,"",736,"",-45.504166,-71.708333,"","",21
"Coyhaique","Acaena_intergerima","","",2009,"",736,"",-45.504166,-71.708333,"","",22
"Torres del Paine","Azorella_monantha","","",1992,"",710,"lcaviere@udec.cl",-50.824444,-73,"","",23
