site,cushion sp,cushion/open,rep,soil moist,SOM,penetration (mm),Dataset code
"Val Bercla","Silene acaulis","open",5,0.23,,,52
"Val Bercla","Silene acaulis","open",6,0.24,,,52
"Val Bercla","Silene acaulis","open",7,0.17,,,52
"Val Bercla","Silene acaulis","open",8,0.27,,,52
"Val Bercla","Silene acaulis","open",9,0.2,,,52
"Val Bercla","Silene acaulis","open",10,0.21,,,52
"Cabezas de Hierro","Minuartia_recurva","cushion ",1,6.527605572,18.2990064,3,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",2,3.681582051,16.65584224,2,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",3,2.320206045,11.0697468,4,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",4,3.21137264,16.50062948,2,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",5,3.979767131,12.79164627,3,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",6,2.823770102,16.40550407,5,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",7,1.102310386,16.10036592,3,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",8,3.053036418,10.74884029,5,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",9,5.630061052,14.79058754,4,56
"Cabezas de Hierro","Minuartia_recurva","cushion ",10,3.40559993,11.27166207,6,56
"Cabezas de Hierro","Minuartia_recurva","open",1,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",2,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",3,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",4,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",5,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",6,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",7,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",8,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",9,,,,56
"Cabezas de Hierro","Minuartia_recurva","open",10,,,,56
"Lebanon","Astragalus zachlensis","cushion ",1,8.611892117,,23.33333333,45
"Lebanon","Astragalus zachlensis","cushion ",2,8.195542775,,29,45
"Lebanon","Astragalus zachlensis","cushion ",3,9.967765931,,30,45
"Lebanon","Astragalus zachlensis","cushion ",4,9.99789074,,33,45
"Mt. Burns","Phyllacne_colensoi","cushion",1,,10.2687769245177,49,43
"Mt. Burns","Phyllacne_colensoi","cushion",2,,8.40492476060188,5,43
"Mt. Burns","Phyllacne_colensoi","cushion",3,,11.2325946263973,5,43
"Mt. Burns","Phyllacne_colensoi","cushion",4,,12.9188953171051,49,43
"Mt. Burns","Phyllacne_colensoi","cushion",5,,10.7776586876265,49,43
"Mt. Burns","Phyllacne_colensoi","cushion",6,,22.020466741545,5,43
