site,transect number,transect length (cm),start,stop,cushion sp,cushion cover (cm),dataset code
"Val Bercla",2,3000,"","","Silene_acaulis",35,52
"Val Bercla",2,3000,"","","Silene_acaulis",10,52
"Val Bercla",2,3000,"","","Silene_acaulis",15,52
"Val Bercla",2,3000,"","","Silene_acaulis",35,52
"Val Bercla",2,3000,"","","Silene_acaulis",40,52
"Val Bercla",2,3000,"","","Silene_acaulis",65,52
"Val Bercla",2,3000,"","","Silene_acaulis",30,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",5,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",10,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",30,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",30,52
"Val Bercla",2,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",2,3000,"","","Minuartia_sedoides",10,52
"Val Bercla",2,3000,"","","Minuartia_sedoides",15,52
"Val Bercla",2,3000,"","","Minuartia_sedoides",10,52
"Val Bercla",2,3000,"","","Minuartia_sedoides",5,52
"Val Bercla",2,3000,"","","Dryas_octopetala",35,52
"Val Bercla",2,3000,"","","Loiseleuria_procumbens",15,52
"Val Bercla",2,3000,"","","Festuca_quadriflora",15,52
"Val Bercla",3,3000,"","","Silene_acaulis",20,52
"Val Bercla",3,3000,"","","Silene_acaulis",5,52
"Val Bercla",3,3000,"","","Silene_acaulis",20,52
"Val Bercla",3,3000,"","","Silene_acaulis",35,52
"Val Bercla",3,3000,"","","Silene_acaulis",25,52
"Val Bercla",3,3000,"","","Silene_acaulis",20,52
"Val Bercla",3,3000,"","","Silene_acaulis",15,52
"Val Bercla",3,3000,"","","Silene_acaulis",25,52
"Val Bercla",3,3000,"","","Silene_acaulis",15,52
"Val Bercla",3,3000,"","","Silene_acaulis",35,52
"Val Bercla",3,3000,"","","Silene_acaulis",10,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",25,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",25,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",10,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",30,52
"Val Bercla",3,3000,"","","Sesleria_coerulea",25,52
"Val Bercla",3,3000,"","","Dryas_octopetala",10,52
"Val Bercla",3,3000,"","","Dryas_octopetala",15,52
"Val Bercla",3,3000,"","","Dryas_octopetala",45,52
"Val Bercla",3,3000,"","","Dryas_octopetala",20,52
"Val Bercla",3,3000,"","","Dryas_octopetala",10,52
"Val Bercla",3,3000,"","","Dryas_octopetala",60,52
"Val Bercla",3,3000,"","","Dryas_octopetala",25,52
"Val Bercla",3,3000,"","","Dryas_octopetala",20,52
"Val Bercla",3,3000,"","","Loiseleuria_procumbens",20,52
"Val Bercla",3,3000,"","","Loiseleuria_procumbens",50,52
"Val Bercla",3,3000,"","","Festuca_quadriflora",10,52
"Val Bercla",3,3000,"","","Festuca_quadriflora",10,52
"Val Bercla",3,3000,"","","Festuca_quadriflora",25,52
"Val Bercla",3,3000,"","","Festuca_quadriflora",20,52
"Val Bercla",4,3000,"","","Silene_acaulis",30,52
"Val Bercla",4,3000,"","","Silene_acaulis",35,52
"Val Bercla",4,3000,"","","Silene_acaulis",40,52
"Val Bercla",4,3000,"","","Silene_acaulis",15,52
"Val Bercla",4,3000,"","","Silene_acaulis",15,52
"Val Bercla",4,3000,"","","Silene_acaulis",15,52
"Val Bercla",4,3000,"","","Silene_acaulis",10,52
"Val Bercla",4,3000,"","","Silene_acaulis",25,52
"Val Bercla",4,3000,"","","Silene_acaulis",40,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",30,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",10,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",4,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",4,3000,"","","Loiseleuria_procumbens",35,52
"Val Bercla",4,3000,"","","Loiseleuria_procumbens",20,52
"Val Bercla",4,3000,"","","Loiseleuria_procumbens",25,52
"Val Bercla",4,3000,"","","Festuca_quadriflora",10,52
"Val Bercla",5,3000,"","","Silene_acaulis",10,52
"Val Bercla",5,3000,"","","Silene_acaulis",10,52
"Val Bercla",5,3000,"","","Silene_acaulis",15,52
"Val Bercla",5,3000,"","","Silene_acaulis",50,52
"Val Bercla",5,3000,"","","Silene_acaulis",15,52
"Val Bercla",5,3000,"","","Silene_acaulis",25,52
"Val Bercla",5,3000,"","","Silene_acaulis",10,52
"Val Bercla",5,3000,"","","Silene_acaulis",20,52
"Val Bercla",5,3000,"","","Silene_acaulis",30,52
"Val Bercla",5,3000,"","","Silene_acaulis",45,52
"Val Bercla",5,3000,"","","Silene_acaulis",30,52
"Val Bercla",5,3000,"","","Silene_acaulis",35,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",25,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",25,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",20,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",10,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",35,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",15,52
"Val Bercla",5,3000,"","","Sesleria_coerulea",70,52
"Val Bercla",5,3000,"","","Dryas_octopetala",25,52
"Val Bercla",5,3000,"","","Dryas_octopetala",95,52
"Val Bercla",5,3000,"","","Dryas_octopetala",30,52
"Val Bercla",5,3000,"","","Dryas_octopetala",10,52
"Val Bercla",5,3000,"","","Dryas_octopetala",25,52
"Val Bercla",5,3000,"","","Dryas_octopetala",15,52
"Val Bercla",5,3000,"","","Dryas_octopetala",20,52
"Val Bercla",5,3000,"","","Dryas_octopetala",70,52
"Val Bercla",5,3000,"","","Dryas_octopetala",25,52
"Val Bercla",5,3000,"","","Dryas_octopetala",40,52
"Val Bercla",5,3000,"","","Dryas_octopetala",55,52
"Val Bercla",5,3000,"","","Dryas_octopetala",10,52
"Camino",1,5000,"265","327","Azorella_madreporica",,58
"Camino",1,5000,"598","650","Azorella_madreporica",,58
