Dataset code,site name,Original recorded  name,Higher taxon,Family,Genus,Species,Subspecies etc
31,"Beartooth","Arenaria obtusifolia","","Caryophyllaceae","Arenaria","obtusifolia",""
31,"Beartooth","Artemisia scopulorum","","Asteraceae","Artemisia","scopulorum",""
31,"Beartooth","Aster alpigenus","","Asteraceae","Aster","alpigenus",""
31,"Beartooth","Bupleurum americanum","","Apiaceae","Bupleurum","americanum",""
31,"Beartooth","Carex phaeocephala","","Cyperaceae","Carex","phaeocephala",""
31,"Beartooth","Castilleja pallescens","","Scrophulariaceae","Castilleja","pallescens",""
31,"Beartooth","Cerastium arvense","","Brassicaceae","Cerastium","arvense",""
31,"Beartooth","Cetraria aculeata","Lichen","","Cetraria","aculeata",""
31,"Beartooth","Cetraria islandica","Lichen","","Cetraria","islandica",""
31,"Beartooth","Dactylina madreporiformis","Lichen","","Dactylina","madreporiformis",""
31,"Beartooth","Douglasia montana","","Primulaceae","Douglasia","montana",""
31,"Beartooth","Draba paysonii","","Brassicaceae","Draba","paysonii",""
31,"Beartooth","Draba praealta","","Brassicaceae","Draba","praealta",""
31,"Beartooth","Erigeron caespitosum","","Asteraceae","Erigeron","caespitosum",""
31,"Beartooth","Erigeron rydbergii","","Asteraceae","Erigeron","rydbergii",""
31,"Beartooth","Eritrichium nanum","","Boraginaceae","Eritrichium","nanum",""
31,"Beartooth","Festuca ovina","","Poaceae","Festuca","ovina",""
31,"Beartooth","Gentiana algida","","Gentianaceae","Gentiana","algida",""
31,"Beartooth","Geum rossii","","Rosaceae","Geum","rossii",""
31,"Beartooth","Koeleria crassipes","","Poaceae","Koeleria","crassipes",""
31,"Beartooth","Lupinus argenteus var depressum","","Fabaceae","Lupinus","argenteus","depressum"
31,"Beartooth","Luzula spicata","","Juncaceae","Luzula","spicata",""
31,"Beartooth","Phlox pulvinata","","Polemoniaceae","Phlox","pulvinata",""
31,"Beartooth","Poa alpina","","Poaceae","Poa","alpina",""
31,"Beartooth","Polemonium viscosum","","Polemoniaceae","Polemonium","viscosum",""
31,"Beartooth","Polygonum bistortioides","","Polygonaceae","Polygonum","bistortioides",""
31,"Beartooth","Polytrichum piliferum","Bryophyta","","Polytrichum","piliferum",""
31,"Beartooth","Potentilla diversifolia","","Rosaceae","Potentilla","diversifolia",""
31,"Beartooth","Sedum lanceolatum","","Crassulaceae","Sedum","lanceolatum",""
31,"Beartooth","Selaginella densa","","Selaginaceae","Selaginella","densa",""
31,"Beartooth","Senecio canus","","Asteraceae","Senecio","canus",""
31,"Beartooth","Smelowskia calicina","","Brassicaceae","Smelowskia","calycina",""
31,"Beartooth","Trifolium nanum","","Fabaceae","Trifolium","nanum",""
47,"Slovakia Silene acaulis","Androsace chamaejasme","","Primulaceae","Androsace","chamaejasme",""
47,"Slovakia Silene acaulis","Arenaria ciliata","","Caryophyllaceae","Arenaria","ciliata",""
47,"Slovakia Silene acaulis","Artemisia eriantha","","Asteraceae","Artemisia","eriantha",""
47,"Slovakia Silene acaulis","Astragalus frigidus","","Fabaceae","Astragalus","frigidus",""
47,"Slovakia Silene acaulis","Bartsia alpina","","Scrophulariaceae","Bartsia","alpina",""
47,"Slovakia Silene acaulis","Botrychium lunaria","Pteridophyta","Botrychiaceae","Botrychium","lunaria",""
47,"Slovakia Silene acaulis","Campanula alpina","","Campanulaceae","Campanula","alpina",""
47,"Slovakia Silene acaulis","Campanula cochleariifolia","","Campanulaceae","Campanula","cochleariifolia",""
47,"Slovakia Silene acaulis","Campanula tatrae","","Campanulaceae","Campanula","tatrae",""
47,"Slovakia Silene acaulis","Carex atrata","","Cyperaceae","Carex","atrata",""
47,"Slovakia Silene acaulis","Carex capillaris","","Cyperaceae","Carex","capillaris",""
