Site,site name,cushion spp (Genus_species),Hemisphere,Gams winter,TMAX JUNE,TMIN Jan,P/TSUMMER,June Soil Temp,EVAP SUMMER,NDVI SUMMER,RH SUMMER,SOIL WETNESS SUMMER,siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean
1,"Ecuador1","Pentacalia_microdon","S",82.7487792553526,9.04888890000001,-4.796667,34.0767734420858,4.9277778,39.6572962966667,0.0975185186666667,92.3562962966667,539.7974074,85,3,0.980952381,0.003578425,3.186266952,2.234532205,78.852338324,78.515462924,0.013647059,0.735294118,56.351938924,66.365156685,0.011294118,3.069058824
2,"Ecuador1","Xenophyllum_humile","S",82.5075863113702,12.0922222,-4.004444,22.2350070837647,6.66444440000004,43.3236666666667,0.415496296333333,91.8162592566667,641.004444433333,85,24,-0.298903,0.0959951,5.2256762,12.4142779,-123.88585,35.4184885,3.9854118,5.0777647,-112.663666,14.9385246,17.5438824,20.4908235
3,"Ecuador2","Azorella_aretioides","S",82.488434491781,12.0922222,-4.004444,22.2350070837647,6.66444440000004,43.3236666666667,0.415496296333333,91.8162592566667,641.004444433333,90,44,-0.098392,0.06468596,3.29500294,-1.680541,-64.763221,81.18052356,13.10044444,16.50366667,-43.149185,107.91526419,114.94966667,201.88477778
4,"Ecuador2","Azorella_aretioides","S",82.5075863113702,12.0922222,-4.004444,22.2350070837647,6.66444440000004,43.3236666666667,0.415496296333333,91.8162592566667,641.004444433333,85,27,0.31746912,0.07595942,0.52465672,-1.177417,77.00869824,99.85795651,2.16482353,5.40058824,73.89124307,82.46712578,5.746,26.37964706
5,"Atacama","Picnophyllum_bryoides","S",89.6722983856739,14.01,-7.536667,1.67439713292954,4.9855556,4.83922222233333,0.138081481333333,65.5911851866667,307.0111111,100,11,0.29816017,0.06305524,2.10341684,-0.94275,38.24976025,80.40820795,1.0652,2.2518,23.46779796,80.2626012,1.4962,3.4415
8,"Elqui","Adesmia_subterranea","S",69.6192913096424,12.7288889,-19.444444,1.30299744472027,1.8233333,13.2930222226667,0.114144444666667,52.6465925933333,350.785185166667,100,22,0.18988883,0.07937069,0.73021781,-0.046311,47.20322752,75.51655756,2.1385,4.417,38.32372118,67.24807935,5.9533,16.5389
9,"Elqui","Adesmia_subterranea","S",69.4081183946906,11.6166667,-21.465556,2.51532283586957,-2.396667,18.6267037033333,0.117414815,58.7602222233333,346.6948148,100,12,0.4408387,0.07552927,2.5909648,-1.027534,70.04722397,92.17068805,0.9418,2.2615,64.8945931,71.43564285,1.2603,5.2928
11,"Franciscano","Azorella_madreporica","S",67.2369590638482,20.4711111,-12.955556,0.807137089538688,9.5744444,31.62317778,0.188025925666667,50.5808148166667,403.61,100,28,0.06510145,0.09340455,2.42960017,-0.999129,59.75021797,84.28402426,1.5075,4.4031,41.87195184,43.9798218,3.9477,41.7216
12,"Tres Puntas","Azorella_madreporica","S",62.1971821323056,13.4077778,-21.955556,2.19352220231624,-0.251111,34.8139259266667,0.156892592666667,59.6932962966667,514.033333333333,100,20,0.11503707,0.08493436,3.81907428,-3.2258,80.71094294,100.14840154,1.1596,3.9293,66.50571177,78.89754797,2.2147,10.8562
13,"La Parva","Laretia_acaulis","S",66.8293412483054,20.4711111,-12.955556,0.807137089538688,9.5744444,31.62317778,0.188025925666667,50.5808148166667,403.61,100,33,0.26322371,0.07211724,4.46961037,-3.616713,53.44187258,78.02647709,2.8981,7.058,50.73452528,70.22724261,5.7139,20.4001
14,"La Parva","Laretia_acaulis ","S",67.0513735717753,20.4711111,-12.955556,0.807137089538688,9.5744444,31.62317778,0.188025925666667,50.5808148166667,403.61,100,36,0.21918867,0.07879517,4.46296707,-9.101108,60.15697326,79.27361889,2.5033,6.6682,-8.318043,24.24215726,12.0904,21.5843
15,"Antuco","Oreopolus_glacialis","S",47.5764398768847,22.7255556,-14.636667,3.28483233068977,3.13,79.85392593,0.436303703666667,58.2856666666667,434.196666666667,55,18,0.52929173,0.07800627,2.35848541,0.77973866,58.13302595,59.08451309,0.60890909,2.34890909,65.34459368,64.72329,0.82218182,5.51490909
