siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean,metric
85,3,0.980952381,0.003578425,3.186266952,2.234532205,78.852338324,78.515462924,0.013647059,0.735294118,56.351938924,66.365156685,0.011294118,3.069058824,1
85,24,-0.298903,0.0959951,5.2256762,12.4142779,-123.88585,35.4184885,3.9854118,5.0777647,-112.663666,14.9385246,17.5438824,20.4908235,2
90,44,-0.098392,0.06468596,3.29500294,-1.680541,-64.763221,81.18052356,13.10044444,16.50366667,-43.149185,107.91526419,114.94966667,201.88477778,3
85,27,0.31746912,0.07595942,0.52465672,-1.177417,77.00869824,99.85795651,2.16482353,5.40058824,73.89124307,82.46712578,5.746,26.37964706,4
100,11,0.29816017,0.06305524,2.10341684,-0.94275,38.24976025,80.40820795,1.0652,2.2518,23.46779796,80.2626012,1.4962,3.4415,5
100,22,0.18988883,0.07937069,0.73021781,-0.046311,47.20322752,75.51655756,2.1385,4.417,38.32372118,67.24807935,5.9533,16.5389,8
100,12,0.4408387,0.07552927,2.5909648,-1.027534,70.04722397,92.17068805,0.9418,2.2615,64.8945931,71.43564285,1.2603,5.2928,9
100,28,0.06510145,0.09340455,2.42960017,-0.999129,59.75021797,84.28402426,1.5075,4.4031,41.87195184,43.9798218,3.9477,41.7216,11
100,20,0.11503707,0.08493436,3.81907428,-3.2258,80.71094294,100.14840154,1.1596,3.9293,66.50571177,78.89754797,2.2147,10.8562,12
100,33,0.26322371,0.07211724,4.46961037,-3.616713,53.44187258,78.02647709,2.8981,7.058,50.73452528,70.22724261,5.7139,20.4001,13
100,36,0.21918867,0.07879517,4.46296707,-9.101108,60.15697326,79.27361889,2.5033,6.6682,-8.318043,24.24215726,12.0904,21.5843,14
55,18,0.52929173,0.07800627,2.35848541,0.77973866,58.13302595,59.08451309,0.60890909,2.34890909,65.34459368,64.72329,0.82218182,5.51490909,15
52,27,0.2117142,0.1008121,1.0799843,0.3122769,55.6637128,65.4557277,1.4394231,4.5144231,23.6745917,28.5963076,10.7811538,33.3246154,16
100,24,0.65987059,0.06906072,1.23428886,1.29475907,91.55300293,97.20355097,0.6214,4.0455,58.73949087,67.83787217,1.7726,19.3821,17
100,24,0.72852917,0.05360623,1.62885371,4.4129394,119.26811915,136.79977392,0.5829,4.0318,66.99889336,62.65630056,1.1149,15.0505,18
100,25,0.72520703,0.06275579,3.09709648,3.63069949,117.86661148,134.42624665,0.6171,4.4525,76.80923539,77.10018535,1.2894,15.8595,19
47,35,-0.139456,0.08161951,2.10161967,0.49453727,-13.534344,23.28534972,3.92765957,5.71595745,-13.561013,33.98260022,3.90617021,7.08170213,23
50,40,0.07888548,0.10538964,4.51036558,-3.502423,13.91861812,54.50532464,3.2836,6.6616,16.80340466,58.49461106,3.2146,7.2634,24
53,35,0.63148304,0.07312822,5.36769616,-0.412961,64.11313499,75.94151326,1.37056604,5.67962264,66.99686114,81.54422002,1.36603774,5.94773585,25
50,28,0.5031888,0.1013748,1.6084951,-1.35567,57.5205504,77.6968207,0.8238,3.116,59.1048211,71.229703,0.8166,3.1632,26
72,29,0.5189307,0.04301716,2.00729554,-1.008306,88.11367695,121.6287501,5.46222222,8.96541667,95.19599406,150.61719724,22.02694444,65.68180556,31
28,22,0.3123412,0.0886655,0.9389891,-0.775073,46.9581946,72.1437969,5.1175,8.3310714,61.4218925,94.2530665,25.9160714,71.3285714,32
30,29,0.40547425,0.07224353,0.53454553,1.19287383,17.27445896,40.68219062,4.951,6.98166667,45.44529509,75.95916354,9.40833333,26.16533333,33
30,26,0.45291912,0.09753535,0.32295762,1.31910801,45.95515003,64.11129355,3.396,5.36066667,56.09323913,85.07224486,11.56666667,33.65966667,34
30,16,0.01906122,0.12984456,0.19466647,-0.183219,15.62653017,44.38883695,3.63,5.33733333,45.77426382,118.20030542,13.28733333,32.52166667,36
80,15,0.7962354,0.0544902,4.1440731,2.4061149,100.7612689,109.6185466,0.476375,3.00175,51.9115261,56.5929148,1.8965,10.207875,38
80,9,0.73473245,0.02257772,5.40606207,4.63893579,84.55612217,103.94091887,0.3885,2.329375,55.7924589,60.33905445,1.209,7.039,39
90,35,0.41165079,0.07410496,3.2252436,-4.340445,70.65628991,89.08876125,2.74922222,7.04277778,63.05420685,75.02139896,6.90266667,41.94266667,41
79,36,0.38106682,0.07116825,0.10691688,1.22935893,67.42802964,120.83569697,5.33075949,11.17405063,55.24062733,86.51988642,16.56696203,51.18253165,43
60,20,0.26295853,0.08518617,3.2058386,1.64087778,13.60216622,53.40471737,2.8815,4.43966667,42.85533048,52.01718084,15.825,51.19216667,44
60,26,0.10565358,0.08571198,3.61283949,-7.009204,17.2714937,68.72538051,4.53583333,7.37533333,70.17396817,92.13452063,27.16366667,110.575,45
80,25,0.34290137,0.05316527,0.82045162,-1.116991,61.16826666,89.85037527,2.316875,5.218,21.23085948,36.27352438,9.8655,26.107875,46
90,61,-0.282451,0.07180907,4.04332189,-1.168278,-43.31853,61.70990881,10.52333333,13.69433333,-38.736837,37.67029905,143.41711111,223.53777778,47
80,14,-0.010323,0.05406851,0.47092116,0.50553247,-7.86435,44.58216107,2.97575,4.160375,9.64283153,40.17487984,36.052875,79.973125,49
148,4,-0.104662,0.03038902,1.50016201,-0.982229,-21.434167,-11.690871,1.75837838,1.60006757,-4.344129,-1.534432,6.57445946,6.4422973,50
75,36,0.75837268,0.04531213,2.63869018,-1.314986,147.02073822,161.74965977,4.138,11.29066667,105.6978367,114.08169533,10.20066667,53.07533333,52
82,35,0.7287594,0.0643136,2.5529541,-4.716537,148.5071405,139.781987,1.2584146,4.7560976,102.7896024,116.3326143,3.0286585,22.619878,53
80,53,0.62542982,0.06599648,2.59097041,-1.777773,104.12022801,137.73916409,2.745375,7.00375,86.39686742,93.38974792,11.098625,50.3315,54
101,17,0.30597899,0.05530876,1.9164771,-0.791326,44.7597111,85.88406563,2.82227723,4.96792079,57.85103826,104.82249118,8.94207921,26.53148515,56
100,56,-0.436762,0.06640543,3.15382721,0.67281787,-16.243986,43.40160183,5.5372,8.577,29.86912006,48.60896725,18.8682,51.2923,57
100,29,0.30181542,0.08461695,4.88293922,-4.930707,61.36799148,84.03407537,2.2215,5.531,89.11605274,94.34250436,4.6911,37.0725,58
100,23,0.25910618,0.06861364,1.50077694,-1.615317,63.48576833,93.35877586,2.4044,5.7635,12.03046977,52.78764343,7.6519,16.2949,59
100,16,0.70716089,0.05660151,3.97877356,-1.780685,115.96540361,118.2027204,0.7931,3.1712,96.36171167,105.7875863,1.3247,6.611,60
100,56,-0.547125,0.0607481,2.9766757,-1.788658,-27.342362,36.7717502,6.1481,9.1659,-33.050374,16.7705782,24.6703,34.9768,61
100,9,0.65020794,0.03832253,4.67784092,2.58826184,69.05896841,91.80578433,0.6944,1.682,62.41710075,93.1262326,0.9124,3.3135,62
100,14,0.28962182,0.03318348,3.72429262,-3.37356,54.83482955,87.89839473,1.6907,3.3315,46.4978706,74.17851963,3.0151,8.435,63
103,24,0.41187604,0.06084102,4.2844345,1.07028215,67.35062747,100.72260957,1.39640777,4.29349515,58.41376759,72.11171497,3.32407767,11.93660194,64
104,47,0.63750671,0.05220426,2.76108738,-0.835329,107.19310427,125.12926899,1.24096154,4.75375,92.41938769,96.01720893,2.3375,18.94836538,65
80,17,0.47736186,0.05155529,5.50012268,-9.06126,107.78014315,131.81210794,1.499875,4.863,96.64455865,126.38285667,6.04675,28.08825,67
47,16,0.61583157,0.07503421,3.16538848,0.38725519,72.41213565,79.91733018,1.00680851,3.41659574,57.53370016,63.80021931,5.78382979,29.40468085,68
73,24,0.18609075,0.08386242,5.54000329,-6.05834,17.41790484,73.17162069,2.8130137,4.90452055,45.96605308,67.74132817,9.51780822,27.65767123,69
70,13,0.4723929,0.05919114,3.24600033,1.07467934,50.04396347,67.96019406,0.78414286,1.98928571,38.04743625,62.67845625,3.34428571,10.22628571,71
81,17,0.15687113,0.07157578,1.56119209,-0.058774,48.853405,78.97989149,1.51012346,3.30975309,39.59006053,68.44458852,7.7891358,21.23666667,72
93,36,0.23396009,0.06497257,5.54000329,-5.120653,55.24018206,95.97088875,4.22795699,7.20129032,80.19903576,110.53704551,18.50763441,60.10236559,73
85,40,0.14110176,0.06514926,2.14038266,-0.97413,17.59286097,50.58264392,4.42376471,6.58494118,33.99075752,70.90348772,22.41341176,54.35223529,74
100,29,0.06444988,0.05221986,0.21894834,0.67807437,31.53004468,79.77772655,3.2073,5.2929,29.95151329,55.46157418,8.0326,22.6423,75
246,25,0.49695153,0.03387541,0.21894834,-0.406111,33.56840927,62.57106063,3.46730496,4.63368794,54.44175543,70.46323272,9.55751773,20.65638298,76
100,24,0.02543098,0.07714895,2.70560038,4.39399162,39.30738145,101.07187254,2.8756,4.6634,-8.033802,91.00726005,10.9085,21.3714,77
85,27,-0.025037,0.06778396,3.39076413,1.43295488,9.77797824,78.42189661,4.08576471,6.29541176,8.43899526,76.53876376,11.98764706,25.68482353,79
100,13,0.32989009,0.05093064,0.50230935,-1.750629,50.0504355,79.77360187,0.6532,1.7865,57.67650997,59.902952,1.4989,9.1092,80
85,27,-0.179539,0.06493988,1.76934516,1.39236674,-25.220073,74.75472315,4.06729412,6.09811765,-13.442947,72.27282992,12.08835294,22.13788235,81
