Dataset code,site name,cushion spp (Genus_species),date (year),s-tran stt/stp in?,s-trans cush cvr in?,Outstanding issues,Other notes,NOTES
1,"Ecuador1","Pentacalia_microdon",2008,"","1","","Cushion species has been recorded in the ""open"" ha",""
2,"Ecuador1","Xenophyllum_humile",2008,"","1","","",""
3,"Ecuador2","Azorella_aretioides",2009,"","1","","",""
4,"Ecuador2","Azorella_aretioides",2009,"","1","","",""
5,"Atacama","Picnophyllum_bryoides",2004,"1","1","","",""
8,"Elqui","Adesmia_subterranea",2004,"1","1","","",""
9,"Elqui","Adesmia_subterranea",2004,"1","1","","",""
11,"Franciscano","Azorella_madreporica",2003,"1","","","",""
12,"Tres Puntas","Azorella_madreporica",2003,"1","","","",""
13,"La Parva","Laretia_acaulis",2003,"1","","","",""
14,"La Parva","Laretia_acaulis ",2003,"1","","","",""
15,"Antuco","Oreopolus_glacialis",2000,"","","","",""
16,"Antuco","Azorella_trifurcata",2000,"","","","",""
17,"Bariloche","Mulinium_leptacanthum",2003,"","","Cushion size diameter data exist, but pos. not related to the transect (10 x 10 m quadrat)","",""
18,"Bariloche","Oreopolus_glacialis",2003,"","","Cushion size diameter data exist, but pos. not related to the transect (10 x 10 m quadrat)","",""
19,"Bariloche","Discaria_nana",2003,"","","Cushion size diameter data exist, but pos. not related to the transect (10 x 10 m quadrat)","",""
23,"Torres del Paine","Azorella_monantha",1992,"","","Diversity data are presence/absence - not numbers","",""
24,"Torres del Paine","Bolax_gummiferia",1992,"","","Diversity data are presence/absence - not numbers","",""
25,"Torres del Paine","Azorella_monantha",1992,"","","Diversity data are presence/absence - not numbers","",""
26,"Torres del Paine","Bolax_gummiferia",1992,"","","Diversity data are presence/absence - not numbers","",""
31,"Beartooth","Silene_acaulis",2008,"","","","",""
32,"Beartooth","Trifolium_nanum",2008,"","","","",""
33,"Rogers Pass","Antennaria_umbrinella",2008,"","","","",""
34,"Waterworks","Eriogonum_ovalium",2008,"","","Two columns called Bromus tectorum","",""
36,"Mt. Jumbo","Eriogonum_ovalium",2009,"","","","",""
38,"San Francisco Mt.","Geum_rossii",2008,"","","","",""
39,"San Francisco Mt.","Geum_rossii",2008,"","","","",""
41,"Mt. Hutt","Raoulia_sp",2009,"","1","","",""
42,"Old Man Range","Dracophyllum_sp",2009,"","1","","",""
43,"Mt. Burns","Phyllacne_colensoi",2009,"","1","","",""
44,"Lebanon","Onobrychis_cornuta",2009,"1","","","Soil analysis by Richard this summer (2010)",""
45,"Lebanon","Astragulus_zachlensis",2009,"1","","","Soil analysis by Richard this summer (2010)",""
46,"Iran","Astragulus_macrosemius",2009,"1","1","Data sheets a mess - discuss with Ray (may be from Old Man Range)","",""
47,"Slovakia Silene acaulis","Silene_acaulis",2009,"1","","","Lots of additional data sent by Robert about the sites. Copied into the Excel file. Also stuff in a separate folder.",""
49,"Qilian Shan","Arenaria_kansuensis Maxim.",2009,"1","1","","Made from 2 separate files sent by Sa",""
50,"Ny-Ålesund","Silene_acaulis",2009,"1","","","Other covers exist in the Excel file sheet for the transect records (i.e.covers of bare and ""other"")","See substantial notes about site in the Excel file."
