"Number","Cushion number","Length","Width","Surface","S cumulée","Agrostis","Apiacees","Arabis","Carex","Cerastium","Crucif Jaune","Elymus","Grass cap","Grosse Rosette","Koel","Mertensia","Rubiacee","Saxifraga","Senecio","Silene","Solidago","Thlaspi"
32,"Cushion",7,4,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"open",7,4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"Cushion",7,4,28,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"open",7,4,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Cushion",10,4,40,96,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,"open",10,4,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Cushion",10,5,50,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"open",10,5,50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Cushion",11,5,55,201,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,"open",11,5,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Cushion",13,5,65,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"open",13,5,65,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Cushion",11,7,77,315,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7,"open",11,7,77,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Cushion",17,5,85,428,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0
3,"open",17,5,85,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
57,"Cushion",15,8,120,548,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
57,"open",15,8,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"Cushion",15,8,120,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,"open",15,8,120,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"Cushion",16,8,128,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"open",16,8,128,,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
22,"Cushion",13,10,130,926,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0
22,"open",13,10,130,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,"Cushion",13,10,130,1056,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0
49,"open",13,10,130,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Cushion",15,9,135,1191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,"open",15,9,135,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Cushion",15,10,150,1341,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0
26,"open",15,10,150,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Cushion",15,12,180,1521,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
63,"open",15,12,180,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,"Cushion",20,10,200,1721,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,"open",20,10,200,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,"Cushion",20,10,200,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"open",20,10,200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
