"rep","microsite","x-axis (cm)","y-axis (cm)","Surface","S cumulée","Bromus","Cerastium","Apiacees","Centaurea","Festuca","Chardon gris","Scrophulariacees","Veronica","Galium","Marrubium","Asperula","Renoncule glauque","Crocus","Scilla","Astragalus blanc","Senecio","Caryophyllacées","Taraxacum","Prunus","Chardon doré"
41,"on cushion",7,7,49,49,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"on cushion",12,10,120,169,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"on cushion",13,12,156,325,15,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,"on cushion",16,10,160,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"on cushion",17,12,204,689,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,"on cushion",15,15,225,914,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"on cushion",18,13,234,1148,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,"on cushion",20,18,360,1508,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"on cushion",27,15,405,1913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"on cushion",23,20,460,2373,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
45,"on cushion",23,20,460,2833,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"on cushion",25,20,500,3333,15,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
16,"on cushion",25,20,500,3833,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
59,"on cushion",24,22,528,4361,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,"on cushion",30,25,750,5111,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"on cushion",30,25,750,5861,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"on cushion",30,25,750,6611,5,0,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
7,"on cushion",35,25,875,7486,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"on cushion",35,25,875,8361,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
44,"on cushion",35,25,875,9236,0,3,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,1,0,0
30,"on cushion",30,30,900,10136,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,"on cushion",35,28,980,11116,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
51,"on cushion",40,25,1000,12116,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"on cushion",35,30,1050,13166,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13,"on cushion",40,30,1200,14366,8,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"on cushion",35,35,1225,15591,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
6,"on cushion",37,35,1295,16886,30,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,"on cushion",40,35,1400,18286,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,"on cushion",40,35,1400,19686,5,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"on cushion",42,38,1596,21282,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"on cushion",50,35,1750,23032,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"on cushion",55,35,1925,24957,60,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,"on cushion",50,40,2000,26957,15,0,0,3,35,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,"on cushion",50,45,2250,29207,25,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"on cushion",57,40,2280,31487,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,"on cushion",53,45,2385,33872,1,0,3,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
43,"on cushion",53,50,2650,36522,10,5,20,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
11,"on cushion",60,45,2700,39222,25,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
50,"on cushion",65,45,2925,42147,5,0,10,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,"on cushion",65,50,3250,45397,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"on cushion",65,55,3575,48972,0,0,10,0,8,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
46,"on cushion",75,50,3750,52722,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
54,"on cushion",95,40,3800,56522,50,0,15,0,20,3,0,0,0,8,0,0,0,0,0,0,0,0,0,1
23,"on cushion",65,60,3900,60422,50,0,2,0,5,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
47,"on cushion",65,60,3900,64322,25,0,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
49,"on cushion",85,50,4250,68572,45,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"on cushion",95,45,4275,72847,65,0,15,35,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
3,"on cushion",75,60,4500,77347,75,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"on cushion",75,60,4500,81847,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,"on cushion",75,60,4500,86347,60,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,"on cushion",70,65,4550,90897,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"on cushion",75,65,4875,95772,60,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"on cushion",80,65,5200,100972,65,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"on cushion",90,65,5850,106822,60,0,6,15,3,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0
57,"on cushion",85,70,5950,112772,25,0,10,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"on cushion",80,75,6000,118772,40,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"on cushion",82,75,6150,124922,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,"on cushion",100,90,9000,133922,0,0,25,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"on cushion",130,105,13650,147572,25,0,30,2,60,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"on cushion",130,115,14950,162522,100,0,10,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0
41,"in open",7,7,49,49,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,"in open",12,10,120,169,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"in open",13,12,156,325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,"in open",16,10,160,485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,"in open",17,12,204,689,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
